name,city,country,stars
All Spice,San Francisco,United States,1
Ame,San Francisco,United States,1
Auberge du Soleil,San Francisco,United States,1
Aziza,San Francisco,United States,1
Bouchon,San Francisco,United States,1
Boulevard,San Francisco,United States,1
Campton Place,San Francisco,United States,1
Chez TJ,San Francisco,United States,1
Commis,San Francisco,United States,1
Farmhouse Inn & Restaurant,San Francisco,United States,1
Gary Danko,San Francisco,United States,1
Keiko à Nob Hill,San Francisco,United States,1
Kusakabe,San Francisco,United States,1
La Folie,San Francisco,United States,1
La Toque,San Francisco,United States,1
Luce,San Francisco,United States,1
Madera,San Francisco,United States,1
Madrona Manor,San Francisco,United States,1
Maruya,San Francisco,United States,1
Michael Mina,San Francisco,United States,1
Plumed Horse,San Francisco,United States,1
Solbar,San Francisco,United States,1
Sons & Daughters,San Francisco,United States,1
SPQR,San Francisco,United States,1
Spruce,San Francisco,United States,1
State Bird Provisions,San Francisco,United States,1
Terra,San Francisco,United States,1
Terrapin Creek,San Francisco,United States,1
Village Pub (The),San Francisco,United States,1
Wakuriya,San Francisco,United States,1
Acquerello,San Francisco,United States,2
Atelier Crenn,San Francisco,United States,2
Baumé,San Francisco,United States,2
Coi,San Francisco,United States,2
Manresa,San Francisco,United States,2
Quince,San Francisco,United States,2
Benu,San Francisco,United States,3
French Laundry (The),San Francisco,United States,3
Restaurant at Meadowood (The),San Francisco,United States,3
Saison,San Francisco,United States,3
Ai Fiori,New York,United States,1
Aldea,New York,United States,1
Andanada,New York,United States,1
Aureole,New York,United States,1
Babbo,New York,United States,1
Bâtard,New York,United States,1
Betony,New York,United States,1
Blue Hill,New York,United States,1
Bouley,New York,United States,1
The Breslin,New York,United States,1
Brushstroke,New York,United States,1
Café Boulud,New York,United States,1
Café China,New York,United States,1
Carbone,New York,United States,1
Casa Enríque,New York,United States,1
Casa Mono,New York,United States,1
Caviar Russe,New York,United States,1
Danny Brown Wine Bar & Kitchen,New York,United States,1
Delaware and Hudson,New York,United States,1
Del Posto,New York,United States,1
Dovetail,New York,United States,1
15 East,New York,United States,1
Gotham Bar and Grill,New York,United States,1
Gramercy Tavern,New York,United States,1
Hakkasan,New York,United States,1
Jewel Bako,New York,United States,1
Juni,New York,United States,1
Junoon,New York,United States,1
Kajitsu,New York,United States,1
Kyo Ya,New York,United States,1
La Vara,New York,United States,1
Lincoln,New York,United States,1
Luksus at Tørst,New York,United States,1
Meadowsweet,New York,United States,1
Minetta Tavern,New York,United States,1
The Modern,New York,United States,1
The Musket Room,New York,United States,1
M. Wells Steakhouse,New York,United States,1
NoMad,New York,United States,1
Peter Luger,New York,United States,1
Picholine,New York,United States,1
Piora,New York,United States,1
Pok Pok Ny,New York,United States,1
Public,New York,United States,1
The River Café,New York,United States,1
Rosanjin,New York,United States,1
Seäsonal,New York,United States,1
Spotted Pig,New York,United States,1
Sushi Azabu,New York,United States,1
Sushi of Gari,New York,United States,1
Take Root,New York,United States,1
Telepan,New York,United States,1
Tori Shin,New York,United States,1
Torrisi Italian Specialties,New York,United States,1
Tulsi,New York,United States,1
Wallsé,New York,United States,1
Zabb Elee,New York,United States,1
ZZ’s Clam Bar,New York,United States,1
Aquavit,New York,United States,2
atera,New York,United States,2
Blanca,New York,United States,2
Daniel,New York,United States,2
Ichimura,New York,United States,2
Jungsik,New York,United States,2
Marea,New York,United States,2
Momofuku Ko,New York,United States,2
Soto,New York,United States,2
Chef’s Table at Brooklyn Fare,New York,United States,3
Eleven Madison Park,New York,United States,3
Jean-Georges,New York,United States,3
Le Bernardin,New York,United States,3
Masa,New York,United States,3
Per Se,New York,United States,3
Alain Ducasse at The Dorchester,London,United Kingdom,3
The Fat Duck,London,United Kingdom,3
Gordon Ramsay Royal,London,United Kingdom,3
Waterside Inn in Bray,London,United Kingdom,3
Le Champignon Sauvage,Cheltenham,United Kingdom,2
l'Enclume in Cartmel,Cartmel,United Kingdom,2
Gidleigh Park,Chagford,United Kingdom,2
Hand and Flowers,Marlow,United Kingdom,2
Le Manoir aux Quat'Saisons,Great Milton,United Kingdom,2
Michael Wignall at The Latymer,Bagshot,United Kingdom,2
Midsummer House,Cambridge,United Kingdom,2
Restaurant Nathan Outlaw,Rock,United Kingdom,2
Restaurant Sat Bains,Nottingham,United Kingdom,2
Whatley Manor (The Dining Room),Malmesbury,United Kingdom,2
Helene Darroze,London,United Kingdom,2
Dinner by Heston Blumenthal,London,United Kingdom,2
Le Gavroche,London,United Kingdom,2
The Greenhouse,London,United Kingdom,2
Hibiscus,London,United Kingdom,2
The Ledbury,London,United Kingdom,2
Marcus,London,United Kingdom,2
Sketch,London,United Kingdom,2
The Square,London,United Kingdom,2
Alyn Williams at the Westbury - Alyn Williams @chefalyn and @Alyn_Williams,London,United Kingdom,1
Amaya,London,United Kingdom,1
Ametsa with Arzak Instruction,London,United Kingdom,1
Angler at the South Place Hotel,London,United Kingdom,1
Arbutus,London,United Kingdom,1
l'Autre Pied,London,United Kingdom,1
Barrafina (Soho),London,United Kingdom,1
Benares,London,United Kingdom,1
Brasserie Chavot,London,United Kingdom,1
Chez Bruce,London,United Kingdom,1
City Social,London,United Kingdom,1
The Clove Club,London,United Kingdom,1
Dabbous,London,United Kingdom,1
Fera at Claridge's,London,United Kingdom,1
Galvin at Windows,London,United Kingdom,1
Galvin La Chapelle,London,United Kingdom,1
Club Gascon,London,United Kingdom,1
The Glass House,London,United Kingdom,1
Gymkhana,London,United Kingdom,1
Hakkasan Hanway Place,London,United Kingdom,1
Hakkasan Mayfair,London,United Kingdom,1
The Harwood Arms,London,United Kingdom,1
Hedone,London,United Kingdom,1
HKK,London,United Kingdom,1
St John Restaurant,London,United Kingdom,1
Kai Mayfair,London,United Kingdom,1
Kitchen Table at Bubbledogs,London,United Kingdom,1
Kitchen W8,London,United Kingdom,1
Launceston Place,London,United Kingdom,1
Lima,London,United Kingdom,1
Locanda Locatelli,London,United Kingdom,1
Maze,London,United Kingdom,1
Murano,London,United Kingdom,1
Outlaw's at the Capital Hotel,London,United Kingdom,1
Petrus,London,United Kingdom,1
Pied à Terre,London,United Kingdom,1
Pollen Street Social,London,United Kingdom,1
Quilon,London,United Kingdom,1
L'Atelier de Joel Robuchon,London,United Kingdom,1
The River Café,London,United Kingdom,1
Seven Park Place (St James Hotel and Club),London,United Kingdom,1
Social Eating House,London,United Kingdom,1
Restaurant Story,London,United Kingdom,1
Tamarind,London,United Kingdom,1
Texture,London,United Kingdom,1
Trishna,London,United Kingdom,1
La Trompette,London,United Kingdom,1
Umu,London,United Kingdom,1
Wild Honey,London,United Kingdom,1
Yauatcha,London,United Kingdom,1
La Pergola,Rome,Italy,3
Il Pagliaccio,Rome,Italy,2
Oliver Glowig,Rome,Italy,2
Aroma,Rome,Italy,1
All’Oro,Rome,Italy,1
Antonello Colonna,Rome,Italy,1
Acquolina Hostaria,Rome,Italy,1
Enotecca la Torre,Rome,Italy,1
Glass Hostaria,Rome,Italy,1
Giuda Ballerino,Rome,Italy,1
Il Convivio-Troiani,Rome,Italy,1
Imàgo,Rome,Italy,1
La Terrazza dell’Eden,Rome,Italy,1
Metamorfosi,Rome,Italy,1
Pipero al Rex,Rome,Italy,1
Stazione di Posta,Rome,Italy,1
Il Falconiere,Cortona,Italy,1
Enoteca Pinchiorri,Florence,Italy,3
Ora D’Aria,Florence,Italy,1
Il Palagio,Florence,Italy,1
La Bottega del Buon Caffè,Florence,Italy,1
Winter Garden By Caino,Florence,Italy,1
Le Tre Lune,Calenzano,Italy,1
La Torre,Tavarnelle Val Di Pesa,Italy,1
Osteria di Passignano,Tavarnelle Val Di Pesa / Badia a Passignano,Italy,1
Trattoria Toscana-Tenuta la Badiola,Castiglione Della Pescaia / Badiola,Italy,1
Bracali,Massa Marittima / Ghirlanda,Italy,2
Caino,Montemerano,Italy,2
Il Pellicano,Porto Ercole,Italy,1
All’Acquacotta,Saturnia,Italy,1
Silene,Seggiano,Italy,1
La Pineta,Marina Di Bibbona,Italy,1
Bistrot,Forte Dei Marmi,Italy,1
Lorenzo,Forte Dei Marmi,Italy,1
La Magnolia,Forte Dei Marmi,Italy,1
Butterfly,Lucca,Italy,1
L’Imbuto,Lucca,Italy,1
Piccolo Principe,Viareggio,Italy,2
Romano,Viareggio,Italy,1
Lunasia,Tirrenia / Calambrone,Italy,1
Atman,Pescia,Italy,1
Il Colombaio,Casole D’elsa,Italy,1
La Bottega del 30,Castelnuovo Berardenga,Italy,1
I Salotti,Chiusi,Italy,1
Arnolfo,Colle Di Val D’elsa,Italy,2
Castello di Fighine,San Casciano Dei Bagni / Fighine,Italy,1
Costes,Budapest,Hungary,1
Tanti,Budapest,Hungary,1
Onyx,Budapest,Hungary,1
Borkonyha,Budapest,Hungary,1
Topaz,Istanbul,Turkey,1
Aqua,Istanbul,Turkey,3
Restaurant AOC,Copenhagen,Denmark,2
Noma,Copenhagen,Denmark,2
Restaurant Geranium,Copenhagen,Denmark,2
Den Rode Cottage,Copenhagen,Denmark,1
Formel B Restaurant,Copenhagen,Denmark,1
Gronbech & Churchill,Copenhagen,Denmark,1
Kadeau,Copenhagen,Denmark,1
Kiin Kiin,Copenhagen,Denmark,1
Kokkeriet,Copenhagen,Denmark,1
Restaurant Era Ora,Copenhagen,Denmark,1
Sollerod Kro,Copenhagen,Denmark,1
Marchal,Copenhagen,Denmark,1
Clou,Copenhagen,Denmark,1
Studio,Copenhagen,Denmark,1
Relae,Copenhagen,Denmark,1
Ciel Bleu,Amsterdam,Netherlands,2
Bord'Eau,Amsterdam,Netherlands,2
&samhoud places,Amsterdam,Netherlands,2
Librijes Zusje,Amsterdam,Netherlands,2
La Rive,Amsterdam,Netherlands,1
Lastage,Amsterdam,Netherlands,1
Restaurant Vermeer,Amsterdam,Netherlands,1
Vinkeles,Amsterdam,Netherlands,1
Yamazato,Amsterdam,Netherlands,1
Le Restaurant,Amsterdam,Netherlands,1
Bridges,Amsterdam,Netherlands,1
RON Gastrobar,Amsterdam,Netherlands,1
Sazanka,Amsterdam,Netherlands,1
Sinne,Amsterdam,Netherlands,1
Ron Blaauw,Amsterdam,Netherlands,1
