state,city,county,season_begin,season_end,lodging_2015,m_ie_rate
AL,Birmingham,Jefferson / Shelby,,,$92 ,56 
AL,Gulf Shores,Baldwin,1-Oct,28-Feb,$100 ,51 
AL,Gulf Shores,Baldwin,1-Mar,31-Jul,$128 ,51 
AL,Gulf Shores,Baldwin,1-Aug,30-Sep,$100 ,51 
AL,Huntsville,Madison / Limestone,,,$86 ,51 
AL,Mobile,Mobile,1-Oct,31-Dec,$86 ,51 
AL,Mobile,Mobile,1-Jan,28-Feb,$95 ,51 
AL,Mobile,Mobile,1-Mar,30-Sep,$86 ,51 
AR,Hot Springs,Garland,,,$100 ,46 
AR,Little Rock,Pulaski,,,$89 ,61 
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,1-Oct,28-Feb,$83 ,66 
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,1-Mar,30-Sep,$112 ,66 
AZ,Kayenta,Navajo,,,$109 ,61 
AZ,Phoenix / Scottsdale,Maricopa,1-Oct,31-Dec,$106 ,71 
AZ,Phoenix / Scottsdale,Maricopa,1-Jan,31-Mar,$141 ,71 
AZ,Phoenix / Scottsdale,Maricopa,1-Apr,31-May,$113 ,71 
AZ,Phoenix / Scottsdale,Maricopa,1-Jun,31-Aug,$83 ,71 
AZ,Phoenix / Scottsdale,Maricopa,1-Sep,30-Sep,$106 ,71 
AZ,Sedona,City Limits of Sedona,1-Oct,28-Feb,$131 ,66 
AZ,Sedona,City Limits of Sedona,1-Mar,31-May,$150 ,66 
AZ,Sedona,City Limits of Sedona,1-Jun,30-Sep,$131 ,66 
AZ,Tucson,Pima,1-Oct,31-Jan,$86 ,56 
AZ,Tucson,Pima,1-Feb,31-May,$100 ,56 
AZ,Tucson,Pima,1-Jun,31-Aug,$83 ,56 
AZ,Tucson,Pima,1-Sep,30-Sep,$86 ,56 
CA,Antioch / Brentwood / Concord,Contra Costa,,,$122 ,66 
CA,Bakersfield / Ridgecrest,Kern,,,$92 ,51 
CA,Barstow / Ontario / Victorville,San Bernardino,,,$98 ,56 
CA,Death Valley,Inyo ,,,$100 ,46 
CA,Eureka / Arcata / McKinleyville,Humboldt,1-Oct,30-Jun,$91 ,61 
CA,Eureka / Arcata / McKinleyville,Humboldt,1-Jul,31-Aug,$109 ,61 
CA,Eureka / Arcata / McKinleyville,Humboldt,1-Sep,30-Sep,$91 ,61 
CA,Fresno,Fresno,,,$89 ,61 
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,,,$138 ,71 
CA,Mammoth Lakes,Mono,1-Oct,30-Nov,$102 ,61 
CA,Mammoth Lakes,Mono,1-Dec,31-Mar,$128 ,61 
CA,Mammoth Lakes,Mono,1-Apr,30-Sep,$102 ,61 
CA,Mill Valley / San Rafael / Novato,Marin,,,$133 ,56 
CA,Modesto,Stanislaus,,,$85 ,51 
CA,Monterey,Monterey,1-Oct,30-Jun,$131 ,71 
CA,Monterey,Monterey,1-Jul,31-Aug,$166 ,71 
CA,Monterey,Monterey,1-Sep,30-Sep,$131 ,71 
CA,Napa,Napa,1-Oct,30-Nov,$171 ,66 
CA,Napa,Napa,1-Dec,31-Jan,$131 ,66 
CA,Napa,Napa,1-Feb,30-Sep,$171 ,66 
CA,Oakhurst,Madera ,1-Oct,31-May,$87 ,56 
CA,Oakhurst,Madera ,1-Jun,31-Aug,$111 ,56 
CA,Oakhurst,Madera ,1-Sep,30-Sep,$87 ,56 
CA,Oakland,Alameda,,,$124 ,61 
CA,Palm Springs,Riverside,1-Oct,31-Dec,$110 ,71 
CA,Palm Springs,Riverside,1-Jan,31-May,$128 ,71 
CA,Palm Springs,Riverside,1-Jun,30-Sep,$90 ,71 
CA,Point Arena / Gualala,Mendocino,,,$96 ,66 
CA,Redding,Shasta,,,$89 ,61 
CA,Sacramento,Sacramento,,,$107 ,61 
CA,San Diego,San Diego,,,$142 ,71 
CA,San Francisco,San Francisco,1-Oct,31-Oct,$251 ,71 
CA,San Francisco,San Francisco,1-Nov,31-Dec,$209 ,71 
CA,San Francisco,San Francisco,1-Jan,31-Aug,$219 ,71 
CA,San Francisco,San Francisco,1-Sep,30-Sep,$251 ,71 
CA,San Luis Obispo,San Luis Obispo,,,$111 ,66 
CA,San Mateo / Foster City / Belmont,San Mateo,,,$155 ,61 
CA,Santa Barbara,Santa Barbara,1-Oct,30-Jun,$151 ,66 
CA,Santa Barbara,Santa Barbara,1-Jul,31-Aug,$200 ,66 
CA,Santa Barbara,Santa Barbara,1-Sep,30-Sep,$151 ,66 
CA,Santa Cruz,Santa Cruz,1-Oct,31-May,$128 ,66 
CA,Santa Cruz,Santa Cruz,1-Jun,31-Aug,$168 ,66 
CA,Santa Cruz,Santa Cruz,1-Sep,30-Sep,$128 ,66 
CA,Santa Monica ,City limits of Santa Monica,1-Oct,31-Dec,$190 ,71 
CA,Santa Monica ,City limits of Santa Monica,1-Jan,31-May,$202 ,71 
CA,Santa Monica ,City limits of Santa Monica,1-Jun,31-Aug,$230 ,71 
CA,Santa Monica ,City limits of Santa Monica,1-Sep,30-Sep,$190 ,71 
CA,Santa Rosa,Sonoma,,,$121 ,61 
CA,South Lake Tahoe,El Dorado,,,$114 ,71 
CA,Stockton ,San Joaquin,,,$93 ,56 
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,,,$162 ,56 
CA,Tahoe City,Placer,,,$87 ,61 
CA,Truckee,Nevada ,,,$106 ,71 
CA,Visalia / Lemoore,Tulare / Kings,,,$88 ,61 
CA,West Sacramento / Davis,Yolo,,,$108 ,51 
CA,Yosemite National Park,Mariposa,1-Oct,30-Nov,$90 ,71 
CA,Yosemite National Park,Mariposa,1-Dec,31-May,$113 ,71 
CA,Yosemite National Park,Mariposa,1-Jun,31-Aug,$124 ,71 
CA,Yosemite National Park,Mariposa,1-Sep,30-Sep,$90 ,71 
CO,Aspen,Pitkin,1-Oct,30-Nov,$116 ,71 
CO,Aspen,Pitkin,1-Dec,31-Mar,$270 ,71 
CO,Aspen,Pitkin,1-Apr,31-May,$117 ,71 
CO,Aspen,Pitkin,1-Jun,31-Aug,$201 ,71 
CO,Aspen,Pitkin,1-Sep,30-Sep,$116 ,71 
CO,Boulder / Broomfield,Boulder / Broomfield,,,$114 ,61 
CO,Colorado Springs,El Paso,,,$89 ,66 
CO,Cortez,Montezuma,1-Oct,31-May,$88 ,51 
CO,Cortez,Montezuma,1-Jun,30-Sep,$111 ,51 
CO,Crested Butte / Gunnison,Gunnison,,,$95 ,51 
CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,,,$163 ,66 
CO,Douglas ,Douglas,,,$108 ,61 
CO,Durango,La Plata,1-Oct,31-May,$97 ,61 
CO,Durango,La Plata,1-Jun,30-Sep,$141 ,61 
CO,Fort Collins / Loveland,Larimer,,,$98 ,56 
CO,Montrose,Montrose,,,$87 ,56 
CO,Silverthorne / Breckenridge,Summit,1-Oct,30-Nov,$94 ,56 
CO,Silverthorne / Breckenridge,Summit,1-Dec,31-Mar,$138 ,56 
CO,Silverthorne / Breckenridge,Summit,1-Apr,31-May,$83 ,56 
CO,Silverthorne / Breckenridge,Summit,1-Jun,30-Sep,$94 ,56 
CO,Steamboat Springs,Routt,1-Oct,30-Nov,$99 ,56 
CO,Steamboat Springs,Routt,1-Dec,31-Mar,$172 ,56 
CO,Steamboat Springs,Routt,1-Apr,30-Sep,$99 ,56 
CO,Telluride,San Miguel,1-Oct,30-Nov,$127 ,71 
CO,Telluride,San Miguel,1-Dec,31-Mar,$334 ,71 
CO,Telluride,San Miguel,1-Apr,31-May,$136 ,71 
CO,Telluride,San Miguel,1-Jun,30-Sep,$174 ,71 
CO,Vail,Eagle,1-Oct,30-Nov,$116 ,71 
CO,Vail,Eagle,1-Dec,31-Mar,$312 ,71 
CO,Vail,Eagle,1-Apr,30-Jun,$126 ,71 
CO,Vail,Eagle,1-Jul,31-Aug,$151 ,71 
CO,Vail,Eagle,1-Sep,30-Sep,$116 ,71 
CT,Bridgeport / Danbury,Fairfield,,,$125 ,71 
CT,Cromwell / Old Saybrook,Middlesex,,,$93 ,61 
CT,Hartford,Hartford,,,$116 ,56 
CT,New Haven,New Haven,,,$94 ,61 
CT,New London / Groton,New London,,,$98 ,61 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Oct,31-Oct,$222 ,71 
