state,city,code,name
AK,Adak Island,ADK,Adak Airport
AK,Alakanuk,AUK,Alakanuk Airport
AK,Ambler,AFM,Ambler Airport
AK,Anaktuvuk Pass,AKP,Anaktuvuk Pass Airport
AK,Anchorage,ANC,Anchorage International Airport
AK,Anchorage,MRI,Merrill Field
AK,Anchorage,LHD,Lake Hood Airport
AK,Angoon,AGN,Angoon Seaplane Base
AK,Aniak,ANI,Aniak Airport
AK,Atqasuk,ATK,Atqasuk Edward Burnell Sr Memorial Airport
AK,Barrow,BRW,Wiley Post-Will Rogers Memorial Airport
AK,Bethel,BET,Bethel Airport
AK,Buckland,BVK,Buckland Airport
AK,Chefornak,CFK,Chefornak Airport
AK,Chevak,VAK,Chevak Airport
AK,Cold Bay,CDB,Cold Bay Airport
AK,Cordova,CDV,Cordova Municipal Airport
AK,Craig,CGA,Craig Airport
AK,Deadhorse,SCC,Deadhorse Airport
AK,Delta Junction Ft Greely,BIG,Allen Aaf Airport
AK,Dillingham,DLG,Dillingham Airport
AK,Eek,EEK,Eek Airport
AK,Elim,ELI,Elim Airport
AK,Emmonak,ENM,Emmonak Airport
AK,English Bay,KEB,English Bay Airport
AK,Fairbanks,FAI,Fairbanks International Airport
AK,Fort Yukon,FYU,Fort Yukon Airport
AK,Galbraith Lake,GBH,Galbraith Lake Airport
AK,Galena,GAL,Edward G. Pitka Sr Airport
AK,Gambell,GAM,Gambell Airport
AK,Golovin,N93,Golovin Airport
AK,Gulkana,GKN,Gulkana Airport
AK,Gustavus,GST,Gustavus Airport
AK,Haines,HNS,Haines Airport
AK,Hollis,HYL,Hollis Seaplane Base
AK,Homer,HOM,Homer Airport
AK,Hoonah,HNH,Hoonah Airport
AK,Hooper Bay,HPB,Hooper Bay Airport
AK,Huslia,HLA,Huslia Airport
AK,Huslia,HSL,Huslia Airport
AK,Iliamna,ILI,Iliamna Airport
AK,Juneau,JNU,Juneau International Airport
AK,Kake,KAE,Kake Airport
AK,Kaktovik,BTI,Barter Island LRRS Airport
AK,Kalskag,KLG,Kalskag Airport
AK,Kaltag,KAL,Kaltag Airport
AK,Kasigluk,Z09,Kasigluk Airport
AK,Kenai,ENA,Kenai Municipal Airport
AK,Ketchikan,KTN,Ketchikan International Airport
AK,Kiana,IAN,Bob Baker Memorial Airport
AK,King Cove,KVC,King Cove Airport
AK,King Salmon,AKN,King Salmon Airport
AK,Kipnuk,IIK,Kipnuk Airport
AK,Kivalina,KVL,Kivalina Airport
AK,Klawock,AKW,Klawock Airport
AK,Kodiak,ADQ,Kodiak Airport
AK,Kodiak,KDK,Kodiak Municipal Airport
AK,Kodiak,T44,Trident Basin Seaplane Base
AK,Kongiganak,DUY,Kongiganak Airport
AK,Kotlik,2A9,Kotlik Airport
AK,Kotzebue,OTZ,Ralph Wien Memorial Airport
AK,Koyuk,KKA,Koyuk Airport
AK,Kwethluk,KWT,Kwethluk Airport
AK,Kwigillingok,GGV,Kwigillingok Airport
AK,Kwigillingok,A85,Kwigillingok Airport
AK,Larsen Bay,2A3,Larsen Bay Airport
AK,Manokotak,MBA,Manokotak Airport
AK,Marshall,MDM,Marshall Don Hunter Sr Airport
AK,Marshall,3A5,Marshall Don Hunter Sr
AK,Marshall,MLL,Marshall Airport
AK,McGrath,MCG,McGrath Airport
AK,Metlakatla,MTM,Metlakatla Airport
AK,Mountain Village,MOU,Mountain Village Airport
AK,Napakiak,WNA,Napakiak Airport
AK,Newtok,EWU,Newtok Airport
AK,Noatak,WTK,Noatak Airport
AK,Nome,OME,Nome Airport
AK,Noorvik,D76,Robert (Bob) Curtis Memorial Airport
AK,Noorvik,ORV,Robert (Bob) Curtis Memorial Airport
AK,Nuiqsut,AQT,Nuiqsut Airport
AK,Nulato,NUL,Nulato Airport
AK,Nunapitchuk,16A,Nunapitchuk Airport
AK,Old Harbor,6R7,Old Harbor Airport
AK,Petersburg,PSG,Petersburg Airport
AK,Pilot Station,0AK,Pilot Station Airport
AK,Point Hope,PHO,Point Hope Airport
AK,Port Graham,PGM,Port Graham Airport
AK,Port Heiden,PTH,Port Heiden Airport
AK,Port Lions,ORI,Port Lions Airport
AK,Prospect Creek,PPC,Prospect Creek Airport
AK,Quinhagak,AQH,Quinhagak Airport
AK,Russian Mission,RSH,Russian Mission Airport
AK,Sand Point,SDP,Sand Point Airport
AK,Savoonga,SVA,Savoonga Airport
AK,Scammon Bay,SCM,Scammon Bay Airport
AK,Selawik,WLK,Selawik Airport
AK,Seldovia,SOV,Seldovia Airport
AK,Shishmaref,SHH,Shishmaref Airport
AK,Shungnak,SHG,Shungnak Airport
AK,Sitka,SIT,Sitka Rocky Gutierrez Airport
AK,Skagway,SGY,Skagway Airport
AK,St Mary's,KSM,St Mary's Airport
AK,St Paul Island,SNP,Saint Paul Island Airport
AK,Stebbins,WBB,Stebbins Airport
AK,Tanana,TAL,Ralph M Calhoun Memorial Airport
AK,Thorne Bay,KTB,Thorne Bay Airport
AK,Togiak Village,TOG,Togiak Airport
AK,Toksook Bay,OOK,Toksook Bay Airport
AK,Tuluksak,TLT,Tuluksak Airport
AK,Tuntutuliak,A61,Tuntutuliak Airport
AK,Unalakleet,UNK,Unalakleet Airport
AK,Unalaska,DUT,Unalaska Airport
AK,Valdez,VDZ,Valdez Pioneer Field
AK,Wainwright,AWI,Wainwright Airport
AK,Wrangell,WRG,Wrangell Airport
AK,Yakutat,YAK,Yakutat Airport
AL,Anniston,ANB,Anniston Municipal Airport
AL,Birmingham,BHM,Birmingham International Airport
AL,Dothan,DHN,Dothan Regional Airport
AL,Huntsville,HSV,Huntsville International Airport
AL,Mobile,MOB,Mobile Regional Airport
AL,Montgomery,MGM,Montgomery Regional Airport
AL,Muscle Shoals,MSL,Northwest Alabama Regional Airport
AL,Talladega,ASN,Talladega Municipal Airport
AL,Tuscaloosa,TCL,Tuscaloosa Regional Airport
AR,Fayetteville,FYV,Drake Field
