airport_id	airport_code	name	city_id	latitude	longitude
7501	CCN	Chaghcharan Airport	1	34.53	65.27
5922	FBD	Faizabad Airport	2	37.12	70.52
2048	HEA	Herat	3	34.21	62.23
2049	JAA	Jalalabad	4	34.4	70.5
2050	KBL	Kabul Intl	5	34.57	69.21
7036	BPM	Bagram AFB	5	34.56	69.16
2051	KDH	Kandahar	6	31.51	65.85
8127	KHT	FOB Salerno	7	33.33	69.95
2056	UND	Konduz	8	36.67	68.91
2052	MMZ	Maimana	9	35.93	64.76
2053	MZR	Mazar I Sharif	10	36.71	67.21
8146	AZ3	Sharona	11	33.13	68.84
7499	TII	Tarin Kowt Airport	12	32.61	65.86
7500	ZAJ	Zaranj Airport	13	30.97	61.87
1190	TIA	Tirana Rinas	14	41.41	19.72
234	AZR	Touat Cheikh Sidi Mohamed Belkebir	15	27.84	-0.19
210	ALG	Houari Boumediene	16	36.69	3.22
220	AAE	Annaba	17	36.82	7.81
5552	BLJ	Batna Airport	18	35.75	6.31
5553	CBH	BÌ©char Boudghene Ben Ali Lotfi Airport	19	31.65	-2.27
209	BJA	Soummam	20	36.71	5.07
235	BSK	Biskra	21	34.79	5.74
5554	BMW	Bordj Badji Mokhtar Airport	22	21.38	0.92
221	CZL	Mohamed Boudiaf Intl	23	36.28	6.62
211	DJG	Tiska	24	24.29	9.45
7408	QDJ	Tsletsi Airport	25	34.67	3.35
228	QAS	Ech Cheliff	26	36.21	1.33
236	ELG	El Golea	27	30.57	2.86
237	GHA	Noumerat	28	32.38	3.79
233	MUW	Ghriss	29	35.21	0.15
238	HME	Oued Irara	30	31.67	6.14
214	VVZ	Illizi Takhamalt	31	26.72	8.62
239	INZ	In Salah	32	27.25	2.51
217	GJL	Jijel	33	36.8	5.87
241	LOO	Laghouat	34	33.76	2.93
229	TAF	Tafaraoui	35	35.54	-0.53
231	ORN	Es Senia	35	35.62	-0.62
243	OGX	Ouargla	36	31.92	5.41
6492	QSF	Ain Arnat Airport	37	36.18	5.32
216	TMR	Tamanrasset	38	22.81	5.45
222	TEE	Cheikh Larbi Tebessi	39	35.43	8.12
225	TID	Bou Chekif	40	35.34	1.46
224	HRM	Hassi R Mel	41	32.93	3.31
242	TMX	Timimoun	42	29.24	0.28
227	TIN	Tindouf	43	27.7	-8.17
230	TLM	Zenata	44	35.02	-1.45
240	TGR	Sidi Mahdi	45	33.07	6.09
244	IAM	In Amenas	46	28.05	9.64
7627	FTI	Fitiuta Airport	47	-14.22	-169.42
1970	PPG	Pago Pago Intl	48	-14.33	-170.71
945	BUG	Benguela	49	-12.61	13.4
946	CAB	Cabinda	50	-5.6	12.19
5630	CBT	Catumbela Airport	51	-12.48	13.49
948	NOV	Huambo	52	-12.81	15.76
7412	KNP	Kapanda Airport	53	-9.77	15.46
949	SVP	Kuito	54	-12.4	16.95
951	LAD	Luanda 4 De Fevereiro	55	-8.86	13.23
959	SDD	Lubango	56	-14.92	13.58
7411	LBZ	Lucapa Airport	57	-8.44	20.73
960	LUO	Luena	58	-11.77	19.9
944	SSY	Mbanza Congo	59	-6.27	14.25
952	MEG	Malanje	60	-9.53	16.31
953	SPP	Menongue	61	-14.66	17.72
5633	MSZ	Namibe Airport	62	-15.26	12.15
955	GXG	Negage	63	-7.75	15.29
5632	VPE	Ondjiva Pereira Airport	64	-17.04	15.68
956	PBN	Porto Amboim	65	-10.72	13.77
957	VHC	Saurimo	66	-9.69	20.43
958	SZA	Soyo	67	-6.14	12.37
961	UGO	Uige	68	-7.6	15.03
962	XGN	Xangongo	69	-16.76	14.97
2900	AXA	Wallblake	70	18.2	-63.06
2874	ANU	V C Bird Intl	71	17.14	-61.79
6074	BBQ	Codrington Airport	72	17.64	-61.83
7311	ARR	Alto Rio Senguer Airport	73	-45.02	-70.82
2501	BHI	Comandante Espora	74	-38.72	-62.17
2442	AEP	Aeroparque Jorge Newbery	75	-34.56	-58.42
3988	EZE	Ministro Pistarini	75	-34.82	-58.54
2455	CTC	Catamarca	76	-28.59	-65.75
2487	CRD	Comodoro Rivadavia	77	-45.79	-67.47
2436	COC	Comodoro Pierrestegui	78	-31.3	-58
2443	COR	Ambrosio L V Taravella	79	-31.32	-64.21
2468	CNQ	Corrientes	80	-27.45	-58.76
2486	EHL	El Bolson	81	-41.94	-71.53
4061	FTE	El Calafate	82	-50.28	-72.05
6030	ING	Lago Argentino Airport	82	-50.34	-72.25
2488	EQS	Esquel	83	-42.91	-71.14
2470	FMA	Formosa	84	-26.21	-58.23
6031	GGS	Gobernador Gregores Airport	85	-48.78	-70.15
2437	GHU	Gualeguaychu	86	-33.01	-58.61
2471	IGR	Cataratas Del Iguazu	87	-25.74	-54.47
7230	IGB	Ingeniero Jacobacci	88	-41.3	-69.58
7312	JSM	Jose de San Martin Airport	89	-44.02	-70.47
2477	JUJ	Jujuy	90	-24.39	-65.1
2447	LPG	La Plata	91	-34.97	-57.89
2458	IRJ	La Rioja	92	-29.38	-66.8
6028	LHS	Las Heras Airport	93	-46.53	-68.95
2453	LGS	Malargue	94	-35.49	-69.57
2508	MDQ	Mar Del Plata	95	-37.93	-57.57
2452	MDZ	El Plumerillo	96	-32.83	-68.79
6033	NEC	Necochea Airport	97	-38.48	-58.82
2509	NQN	Presidente Peron	98	-38.95	-68.16
2478	ORA	Oran	99	-23.15	-64.33
2439	PRA	General Urquiza	100	-31.79	-60.48
2472	AOL	Paso De Los Libres	101	-29.69	-57.15
2499	PMQ	Perito Moreno	102	-46.54	-70.98
2474	PSS	Posadas	103	-27.39	-55.97
2494	PUD	Puerto Deseado	104	-47.74	-65.9
2492	PMY	El Tehuelche	105	-42.76	-65.1
2469	RES	Resistencia	106	-27.45	-59.06
2462	RCU	Rio Cuarto Area De Material	107	-33.09	-64.26
2496	RGL	Rio Gallegos	108	-51.61	-69.31
2495	RGA	Rio Grande	109	-53.78	-67.75
2440	ROS	Rosario	110	-32.9	-60.78
2476	SLA	Salta	111	-24.86	-65.49
6029	OES	Antoine De St Exupery Airport	112	-40.75	-65.03
2513	BRC	San Carlos De Bariloche	113	-41.15	-71.16
2461	UAQ	San Juan	114	-31.57	-68.42
2498	ULA	San Julian	114	-49.31	-67.8
2467	LUQ	San Luis	115	-33.27	-66.36
2517	CPC	Aviador C Campos	116	-40.08	-71.14
2454	AFA	San Rafael	117	-34.59	-68.4
2500	RZA	Santa Cruz	118	-50.02	-68.58
2441	SFN	Sauce Viejo	119	-31.71	-60.81
2512	RSA	Santa Rosa	120	-36.59	-64.28
6032	SST	Santa Teresita Airport	121	-36.54	-56.72
2456	SDE	Santiago Del Estero	122	-27.77	-64.31
7229	SGV	Sierra Grande	123	-41.6	-65.37
2514	TDL	Tandil	124	-37.24	-59.23
6027	TTG	General Enrique Mosconi Airport	125	-22.62	-63.79
2490	REL	Almirante Zar	126	-43.21	-65.27
2460	TUC	Teniente Benjamin Matienzo	127	-26.84	-65.1
2497	USH	Ushuaia Malvinas Argentinas	128	-54.84	-68.3
2491	VDM	Gobernador Castello	129	-40.87	-63
2463	VDR	Villa Dolores	130	-31.95	-65.15
2515	VLG	Villa Gesell	131	-37.24	-57.03
7221	APZ	ZAPALA	132	-38.98	-70.11
3965	LWN	Gyumri	133	40.75	43.86
3964	EVN	Zvartnots	134	40.15	44.4
2895	AUA	Reina Beatrix Intl	135	12.5	-70.02
3341	ADL	Adelaide Intl	136	-34.95	138.53
6870	WSY	Whitsunday Airstrip	137	-20.28	148.75
6235	ALH	Albany Airport	138	-34.94	117.81
3333	ABX	Albury	139	-36.07	146.96
3319	ASP	Alice Springs	140	-23.81	133.9
3318	ABM	Bamaga Injinoo	141	-10.95	142.46
6312	PUG	Port Augusta Airport	142	-32.51	137.72
4062	ARM	Armidale	143	-30.53	151.62
3332	AVV	Avalon	144	-38.04	144.47
4291	BNK	Ballina Byron Gateway	145	-28.83	153.56
7566	BWB	Barrow Island Airport	146	-20.8	115.41
7571	BRT	Bathurst Island Airport	147	-11.77	130.62
4289	THG	Thangool	148	-24.49	150.58
4217	BKQ	Blackall	149	-24.43	145.43
3320	BNE	Brisbane Intl	150	-27.38	153.12
4319	BME	Broome	151	-17.8	122.2
4218	BDB	Bundaberg	152	-24.9	152.32
6338	BWT	Wynyard Airport	153	-41	145.73
3322	CNS	Cairns Intl	154	-16.89	145.76
3357	CDU	Camden	155	-34.04	150.69
3355	CBR	Canberra	156	-35.31	149.19
6806	CES	Cessnock Airport	157	-32.79	151.34
3323	CTL	Charleville	158	-26.41	146.26
3356	CFS	Coffs Harbour	159	-30.32	153.12
7912	CDA	Cooinda	160	-12.9	132.53
3321	OOL	Gold Coast	161	-28.16	153.5
6263	NLF	Darnley Island Airport	162	-9.58	143.77
3999	DRW	Darwin Intl	163	-12.41	130.87
7569	DRB	Derby Airport	164	-17.39	123.68
3358	DBO	Dubbo	165	-32.22	148.57
7572	DKI	Dunk Island Airport	166	-17.94	146.14
3990	EMD	Emerald	167	-23.57	148.18
7576	FIZ	Fitzroy Crossing Airport	168	-18.18	125.59
6829	OKB	Orchid Beach	169	-24.96	153.31
