city_id	city	state	country	m_ie_rate
1	Chaghcharan		Afghanistan	46
2	Faizabad		Afghanistan	46
3	Herat		Afghanistan	46
4	Jalalabad		Afghanistan	46
5	Kabul		Afghanistan	28
6	Kandahar		Afghanistan	46
7	Khost		Afghanistan	46
8	Kunduz		Afghanistan	46
9	Maimama		Afghanistan	46
10	Mazar-i-sharif		Afghanistan	46
11	Sharona		Afghanistan	46
12	Tarin Kowt		Afghanistan	46
13	Zaranj		Afghanistan	46
14	Tirana		Albania	82
15	Adrar		Algeria	46
16	Algier		Algeria	46
17	Annaba		Algeria	46
18	Batna		Algeria	46
19	BÌ©char		Algeria	46
20	Bejaja		Algeria	46
21	Biskra		Algeria	46
22	Bordj Badji Mokhtar		Algeria	46
23	Constantine		Algeria	46
24	Djanet		Algeria	46
25	Djelfa		Algeria	46
26	Ech-cheliff		Algeria	46
27	El Golea		Algeria	46
28	Ghardaia		Algeria	46
29	Ghriss		Algeria	46
30	Hassi-messaoud		Algeria	46
31	Illizi		Algeria	46
32	In Salah		Algeria	46
33	Jijel		Algeria	46
34	Laghouat		Algeria	46
35	Oran		Algeria	46
36	Ouargla		Algeria	46
37	Setif		Algeria	46
38	Tamanrasset		Algeria	46
39	Tebessa		Algeria	46
40	Tiaret		Algeria	46
41	Tilrempt		Algeria	46
42	Timimoun		Algeria	46
43	Tindouf		Algeria	46
44	Tlemcen		Algeria	46
45	Touggourt		Algeria	46
46	Zarzaitine		Algeria	46
47	Fiti\\'uta		American Samoa	46
48	Pago Pago		American Samoa	46
49	Benguela		Angola	46
50	Cabinda		Angola	46
51	Catumbela		Angola	46
52	Huambo		Angola	46
53	Kapanda		Angola	46
54	Kuito		Angola	46
55	Luanda		Angola	170
56	Lubango		Angola	46
57	Lucapa		Angola	46
58	Luena		Angola	46
59	M'banza-congo		Angola	46
60	Malanje		Angola	46
61	Menongue		Angola	46
62	Mocamedes		Angola	46
63	Negage		Angola	46
64	Ondjiva		Angola	46
65	Porto Amboim		Angola	46
66	Saurimo		Angola	46
67	Soyo		Angola	46
68	Uige		Angola	46
69	Xangongo		Angola	46
70	The Valley		Anguilla	46
71	Antigua		Antigua and Barbuda	46
72	Codrington		Antigua and Barbuda	46
73	Alto Rio Senguer		Argentina	46
74	Bahia Blanca		Argentina	46
75	Buenos Aires		Argentina	121
76	Catamarca		Argentina	46
77	Comodoro Rivadavia		Argentina	46
78	Concordia		Argentina	46
79	Cordoba		Argentina	46
80	Corrientes		Argentina	46
81	El Bolson		Argentina	46
82	El Calafate		Argentina	46
83	Esquel		Argentina	46
84	Formosa		Argentina	46
85	Gobernador Gregores		Argentina	46
86	Gualeguaychu		Argentina	46
87	Iguazu Falls		Argentina	46
88	Ingeniero Jacobacci		Argentina	46
89	Jose de San Martin		Argentina	46
90	Jujuy		Argentina	46
91	La Plata		Argentina	46
92	La Rioja		Argentina	46
93	Las Heras		Argentina	46
94	Malargue		Argentina	46
95	Mar Del Plata		Argentina	46
96	Mendoza		Argentina	105
97	Necochea		Argentina	46
98	Neuquen		Argentina	46
99	Oran		Argentina	46
100	Parana		Argentina	46
101	Paso De Los Libres		Argentina	46
102	Perito Moreno		Argentina	46
103	Posadas		Argentina	46
104	Puerto Deseado		Argentina	46
105	Puerto Madryn		Argentina	46
106	Resistencia		Argentina	46
107	Rio Cuarto		Argentina	46
108	Rio Gallegos		Argentina	46
109	Rio Grande		Argentina	46
110	Rosario		Argentina	46
111	Salta		Argentina	46
112	San Antonio Oeste		Argentina	46
113	San Carlos De Bariloch		Argentina	46
114	San Julian		Argentina	46
115	San Luis		Argentina	46
116	San Martin Des Andes		Argentina	46
117	San Rafael		Argentina	46
118	Santa Cruz		Argentina	46
119	Santa Fe		Argentina	46
120	Santa Rosa		Argentina	46
121	Santa Teresita		Argentina	46
122	Santiago Del Estero		Argentina	46
123	Sierra Grande		Argentina	46
124	Tandil		Argentina	46
125	Tartagal		Argentina	46
126	Trelew		Argentina	46
127	Tucuman		Argentina	46
128	Ushuaia		Argentina	46
129	Viedma		Argentina	46
130	Villa Dolores		Argentina	46
131	Villa Gesell		Argentina	46
132	ZAPALA		Argentina	46
133	Gyumri		Armenia	46
134	Yerevan		Armenia	92
135	Oranjestad		Aruba	46
136	Adelaide		Australia	134
137	Airlie Beach		Australia	46
138	Albany		Australia	46
139	Albury		Australia	46
140	Alice Springs		Australia	46
141	Amberley		Australia	46
142	Argyle		Australia	46
143	Armidale		Australia	46
144	Avalon		Australia	46
145	Ballina Byron Bay		Australia	46
146	Barrow Island		Australia	46
147	Bathurst Island		Australia	46
148	Biloela		Australia	46
149	Blackall		Australia	46
150	Brisbane		Australia	108
151	Broome		Australia	140
152	Bundaberg		Australia	46
153	Burnie		Australia	46
154	Cairns		Australia	111
155	Camden		Australia	46
156	Canberra		Australia	135
157	Cessnock		Australia	46
158	Charlieville		Australia	46
159	Coff's Harbour		Australia	46
160	Cooinda		Australia	46
161	Coolangatta		Australia	46
162	Darnley Island		Australia	46
